Día;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;;603,25;593,61;;;631,29;;639,20;;660,42;;
2;614,75;599,19;596,15;603,39;610,98;;;641,05;;656,25;;
3;609,49;;;604,06;617,69;;651,21;644,32;680,48;658,91;;671,09
4;604,84;;;603,66;619,18;631,86;652,05;;684,13;659,30;;666,49
5;604,00;601,26;598,04;604,81;;630,38;653,20;;693,13;670,40;698,56;669,02
6;;603,07;600,51;602,71;;633,92;655,29;643,83;691,05;;682,78;671,79
7;;601,23;595,93;;621,36;629,21;;646,78;684,97;;680,03;677,78
8;606,04;596,53;601,91;;627,08;630,63;;642,11;;672,60;676,13;
9;606,29;600,74;605,22;605,17;636,00;;657,33;644,10;;680,67;675,94;
10;607,25;;;604,54;632,92;;651,74;645,95;688,44;683,49;;674,04
11;609,17;;;601,99;626,82;630,45;650,43;;692,62;683,57;;677,00
12;608,04;603,07;603,56;599,20;;632,81;652,37;;698,43;683,70;681,41;679,90
13;;600,35;603,85;596,96;;634,17;648,05;653,98;691,06;;685,46;678,77
14;;596,99;602,19;;618,50;634,57;;658,70;682,79;;688,76;681,17
15;604,09;596,66;601,16;;622,94;633,99;;;;;687,00;
16;601,69;592,66;603,54;595,45;632,73;;;661,75;;678,21;678,49;
17;601,69;;;595,99;630,89;;648,59;666,13;;670,45;;686,44
18;604,99;;;595,82;632,36;636,35;653,89;;;670,08;;685,13
19;605,45;593,15;607,60;594,41;;637,35;655,52;;;674,68;672,41;688,53
20;;594,58;609,39;594,42;;641,51;661,71;668,44;684,86;;670,05;688,46
21;;595,63;609,58;;;639,03;;669,82;673,74;;671,35;688,11
22;606,55;594,70;607,23;;637,03;640,69;;665,02;;676,89;669,45;
23;606,28;594,73;607,76;596,26;627,17;;659,09;660,67;;680,21;667,46;
24;608,15;;;600,58;625,01;;662,43;665,58;666,44;685,09;;691,87
25;604,12;;;599,87;624,31;637,45;655,72;;667,17;686,88;;
26;599,33;591,56;608,14;603,16;;639,38;649,14;;670,84;687,48;673,31;692,69
27;;588,28;606,07;603,31;;640,21;648,40;662,64;663,90;;675,89;693,78
28;;589,15;605,65;;625,29;645,87;;656,81;661,50;;675,97;695,69
29;600,37;;605,26;;624,39;647,95;;658,45;;690,01;672,36;
30;604,63;;;605,74;627,52;;643,19;666,81;;687,90;669,43;
31;604,42;;;;628,33;;638,79;675,38;;693,31;;
Promedio;605,53;596,84;603,45;600,55;626,12;636,15;652,41;656,25;680,91;676,84;677,61;681,99
