,Location,Average Salary by Location,Occupation,Average Salary for Each Occupation by Location,Average National Salary for Each Occupation,Entropy of labor of Each Occupation by location
624,"East Montana (Outside Billings City) PUMA, MT",39598.415917214246,Credit analysts,391055.4506437768,65046.29732411437,5.071814144516281
1159,"LaSalle County PUMA, IL",39593.48222260167,Electrical powerline installers & repairers,177291.97894736842,65493.39119757196,5.054647626866813
2094,"Sterling Heights City PUMA, MI",39590.4556993717,Riggers,432592.4054054054,40344.35734232715,4.797061377084418
1960,"Shawnee (Outside Topeka City), Osage, Jackson, Brown & Wabaunsee Counties PUMA, KS",39585.212969558,Human resources managers,366128.1428571429,72391.03540336741,5.1257544070832735
1806,"Rialto City PUMA, CA",39579.79639425634,Training & development specialists,572399.8275862068,51927.48752447238,4.737304220676614
953,"Hillsborough County (Northeast) PUMA, FL",39574.729086008585,Logisticians,269194.75988700567,51396.85651046584,5.081503908924167
1095,"Kansas City (North Central), Gladstone City & North Kansas City PUMA, MO",39569.90910244524,Chief executives & legislators,140913.286259542,141283.83645852594,5.06286697504734
1216,"Lemon Grove City, La Presa & Spring Valley PUMA, CA",39562.48742522955,Physicians,263405.2268907563,206831.79290917717,5.05573299492661
1394,"Minneapolis City (Southeast) PUMA, MN",39558.09360061735,General & operations managers,253410.46638655465,78932.01272296738,5.01366672901197
2055,"St. Clair & Blount Counties PUMA, AL",39547.96498041789,"Lawyers, & judges, magistrates, & other judicial workers",396120.9444444445,124478.50814810928,4.86452381016906
207,"Bossier & Webster Parishes PUMA, LA",39547.60645227561,"Miscellaneous engineers, including nuclear engineers",393081.6444444445,86422.79194750793,5.008191433069704
134,"Beaver County (South) PUMA, PA",39540.30506082292,"Petroleum, mining & geological engineers, including mining safety engineers",492365.1794871795,121965.87102455912,5.1965594891991405
962,"Hollywood (South) & Pembroke Pines (East) Cities PUMA, FL",39533.655256901104,Artists & related workers,222881.33834586467,25804.65972662201,5.017580166670534
679,"Escambia County (North) PUMA, FL",39519.13511559335,"Surveyors, cartographers, & photogrammetrists",253274.2553191489,49595.98174533926,5.003239902374905
1096,"Kansas City (South) PUMA, MO",39511.26685000705,Chiropractors,421448.3456790124,58929.317817604286,5.142094130897998
1232,"Lincoln & Cleveland (East) Counties PUMA, NC",39505.764585789635,Dentists,418409.0625,127707.80053807772,5.06699873320106
606,"Durham City (North) PUMA, NC",39504.52549389502,Physicians,200228.53655793023,206831.79290917717,5.024161983283377
1717,"Pittsburgh City (South) PUMA, PA",39479.09400475587,Chief executives & legislators,201897.81766381767,141283.83645852594,5.0523530263228436
1961,"Shawnee City PUMA, OK",39478.01667896111,Counter & rental clerks,418409.1,21224.121135503043,4.871322081631432
1824,"Riverside City (West) PUMA, CA",39475.085759449146,Secondary school teachers,445288.7095115681,44453.7424627428,5.034324144833346
131,"Beaches & Merritt Island PUMA, FL",39461.89956477363,Actuaries,192488.43298969071,131082.8818200338,5.0125702898975595
1812,"Richmond County PUMA, GA",39448.1131627245,Diagnostic medical sonographers,477168.6666666667,73862.48732493505,5.099362318906625
2050,"St. Bernard, Jefferson (South) & Plaquemines Parishes PUMA, LA",39436.07911545138,"Lawyers, & judges, magistrates, & other judicial workers",309155.275862069,124478.50814810928,5.003147371511679
2302,"West Valley City (East), Taylorsville & Murray (West) Cities PUMA, UT",39423.94969512464,Coaches and scouts,425500.7619047619,23108.58017214645,4.856806872692146
1983,"Smyrna Town & La Vergne City PUMA, TN",39420.550659141416,"Models, demonstrators, & product promoters",212750.36893203884,12089.157200194966,4.998144089218848
